ID_CATATAN|NIK|NAMA_LENGKAP|TANGGAL|JAM|LOKASI|SUHU
99482|1111111111111111|Agus|2022-03-16|19:23|WC|34












42041|12345|Reihan|2022-03-18|14:26|dupan|36
52686|12345|Reihan|2022-03-28|14:50|Mall|35
37846|12345|Reihan|2022-03-30|05:03|WC|37.3
11463|12345|Reihan|2022-03-30|04:05|WC|37.6
21035|12345|Reihan|2022-03-31|03:45|Ultah|37.6
57945|12345|Reihan|2022-03-30|07:06|Dapur|36.9
1808|12345|Reihan|2022-03-29|08:07|Rumah rehan|35.6
21048|12345|Reihan|2022-03-16|07:05|Dapur|37
92228|3210321032103210|Mohammad Reihan|2022-03-31|09:13|SMK Mahaputra|34.5
49341|12345|Reihan|2022-03-31|23:08|WC wae|35
48615|1234567890987654|Rehan|2022-03-31|23:12|WC|35.9
34800|12345|Reihan|2022-04-01|03:45|Mall|36
83257|12345|Reihan|2022-04-02|09:41|Dapur|37
